"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00187568611342939,0.444563298965622,0.18,0.051,1,"10","Umad1"
0.00187658538559678,0.485800164855204,0.42,0.201,1,"10","Papss1"
0.00188793761818232,0.36846529092783,0.54,0.273,1,"10","Rpn2"
0.00189292826680063,0.739952970140387,0.1,0.028,1,"10","Fn3krp"
0.00189900070391287,0.336076568422117,0.34,0.129,1,"10","Mynn"
0.00191399500751082,0.390729340498716,0.6,0.296,1,"10","Ube2h"
0.00191703943520889,0.320185169944323,0.18,0.056,1,"10","Gm38393"
0.00194819917664668,0.611404927596519,0.2,0.059,1,"10","Map4k2"
0.00195040907730719,0.817791059461499,0.2,0.057,1,"10","Zbtb22"
0.00195088051388913,1.03196964178089,0.14,0.048,1,"10","Rap2c"
0.0019572535723901,0.328387144558112,0.44,0.205,1,"10","Vta1"
0.00195760241567023,1.10819125195948,0.12,0.029,1,"10","Prcp"
0.00196411611664216,0.556962691438321,0.36,0.157,1,"10","Atg101"
0.00197641163012556,0.775773420352387,0.2,0.08,1,"10","Lmbr1"
0.00198340093452585,0.615993552383681,0.28,0.118,1,"10","Uqcc1"
0.00198649402903293,0.262032194600901,0.88,0.61,1,"10","Ssb"
0.00198781187756689,0.455908156798754,0.48,0.213,1,"10","Rnf20"
0.0019886076413782,0.449852111987783,0.22,0.071,1,"10","Smarcal1"
0.00199505279199577,0.811127124949635,0.12,0.022,1,"10","4931415C17Rik"
0.00199925657657064,0.36758499737077,0.5,0.265,1,"10","Ei24"
0.00200068398796593,0.710931936827318,0.14,0.055,1,"10","Pex5"
0.00200239248449242,0.570275518189816,0.38,0.168,1,"10","Plekho1"
0.00200577235449702,0.623038298875557,0.22,0.092,1,"10","Gatc"
0.00200771215934369,0.398901085543489,0.64,0.311,1,"10","Ube2r2"
0.00201150141436794,0.282441682294417,0.32,0.159,1,"10","Egln2"
0.00201577892620583,0.25260586766609,1,0.808,1,"10","Rpl6"
0.00203453171930368,1.36373508548855,0.14,0.044,1,"10","Gm11808"
0.00203889862008318,0.331949476280756,0.32,0.143,1,"10","Snx15"
0.00204172227661998,0.250460080282306,0.1,0.044,1,"10","Rundc1"
