"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.35845734079475e-25,0.777006360506957,0.483,0.143,9.93082898969491e-21,"9","Tceal6"
5.60763237144111e-25,1.45203663089802,0.398,0.08,1.03926250739918e-20,"9","Ccdc92"
6.00779782763053e-25,2.26755698825316,0.266,0.029,1.11342517139477e-20,"9","9330182L06Rik"
6.18299939137311e-25,1.0214238713922,0.578,0.147,1.14589527720318e-20,"9","Gdap1"
6.44457530005121e-25,0.979163904912307,0.624,0.219,1.19437314035849e-20,"9","Zfp428"
6.8477543578191e-25,0.764258305250603,0.878,0.678,1.26909431513461e-20,"9","Cfl1"
7.13514270284428e-25,2.6818992648343,0.281,0.025,1.32235599711813e-20,"9","Cacna1i"
7.35571160950813e-25,1.88690422159621,0.364,0.079,1.36323403259014e-20,"9","Zfp593"
7.45798248543003e-25,0.936911059512377,0.841,0.53,1.38218789402475e-20,"9","Smim10l1"
7.8891124307966e-25,0.720930416052385,0.789,0.453,1.46208920679953e-20,"9","Zfr"
8.09630012766718e-25,1.56344358759765,0.44,0.11,1.50048730266056e-20,"9","Dipk1b"
8.22171603368439e-25,0.965944667425754,0.749,0.345,1.52373063252273e-20,"9","Pja1"
8.80189292508811e-25,3.89715338691597,0.239,0.011,1.63125481580658e-20,"9","Stc1"
9.54637580775165e-25,2.27711035817489,0.287,0.031,1.76922982845061e-20,"9","Kcnip3"
9.71222016807712e-25,1.20369292141572,0.755,0.342,1.79996576374973e-20,"9","Sqstm1"
1.08539470917617e-24,0.840029453898136,0.804,0.404,2.0115620145162e-20,"9","Atp6v1b2"
1.09847334876566e-24,0.97183308710576,0.743,0.359,2.0358006572674e-20,"9","Slc22a17"
1.12098234739352e-24,1.48041232043183,0.382,0.084,2.0775165844244e-20,"9","Zfhx2"
1.13986937030839e-24,0.899844141823601,0.765,0.386,2.11251990399254e-20,"9","B230219D22Rik"
1.20646615841071e-24,0.717068326371175,0.563,0.21,2.23594373138258e-20,"9","Edil3"
1.21000043806266e-24,4.68053337086729,0.214,0.006,2.24249381186152e-20,"9","Clmp"
1.28163960354396e-24,2.57201041522305,0.294,0.039,2.37526267724801e-20,"9","Il1rapl1"
1.37182760760334e-24,1.09139184892631,0.709,0.326,2.54240810517126e-20,"9","Tcaf1"
1.39687573300475e-24,1.95000610839018,0.37,0.062,2.5888297959777e-20,"9","Lrrtm2"
1.42958865116066e-24,1.51309599426428,0.508,0.117,2.64945664719605e-20,"9","B230217C12Rik"
1.7681067299228e-24,0.81375985662544,0.847,0.561,3.27683220256592e-20,"9","Dnajb6"
1.93252205718909e-24,2.20573746571271,0.3,0.05,3.58154312858854e-20,"9","Flrt1"
2.12927594012041e-24,1.13951622751662,0.453,0.115,3.94618709982515e-20,"9","Epb41l1"
2.3052793730625e-24,3.00457027335612,0.281,0.031,4.27237426209673e-20,"9","Spock1"
2.43127294580886e-24,1.16897571920935,0.618,0.212,4.50587815046757e-20,"9","Pds5b"
2.53817720592263e-24,1.09252432562012,0.453,0.13,4.70400381573641e-20,"9","Zbtb11"
2.6223266271261e-24,0.950713033255186,0.908,0.621,4.8599579380528e-20,"9","Nap1l1"
2.73205484196609e-24,1.64202171564869,0.401,0.085,5.06331723861576e-20,"9","Kctd13"
2.80188763154579e-24,1.73404926813699,0.284,0.037,5.19273834754382e-20,"9","St6gal2"
3.18524211343873e-24,0.951724604315281,0.596,0.223,5.903209208836e-20,"9","Coro2b"
3.2178566676244e-24,0.609997704127844,0.972,0.792,5.96365376210831e-20,"9","Atp6v0b"
3.34277410102033e-24,2.57349008938496,0.248,0.026,6.19516324142099e-20,"9","Plxna1"
3.43468800549095e-24,3.5237551837895,0.217,0.007,6.36550728057637e-20,"9","Golga7b"
3.58770727892278e-24,0.738213775797395,0.884,0.525,6.64909790002758e-20,"9","Ddx24"
3.60850121190877e-24,1.91451440379458,0.394,0.079,6.68763529603053e-20,"9","Kcnab1"
3.75981543044375e-24,2.0854788056197,0.336,0.049,6.9680659372414e-20,"9","Apba1"
4.0746388782501e-24,1.93715645321363,0.394,0.063,7.55152823306091e-20,"9","Kcnh5"
4.10812632952676e-24,1.3745854004421,0.648,0.262,7.61359052651195e-20,"9","Fbxw7"
4.65682071349267e-24,2.05578335629355,0.355,0.045,8.63048582831596e-20,"9","Rell2"
4.68997134926848e-24,0.901286463944174,0.694,0.238,8.69192390159928e-20,"9","Gabrg2"
4.89638306889143e-24,1.14582427883896,0.55,0.212,9.07446674157649e-20,"9","Arl8a"
5.09180262695471e-24,1.49667076229643,0.422,0.073,9.43663780853517e-20,"9","Atcay"
5.14854818159002e-24,1.15383911339661,0.648,0.283,9.54180434494079e-20,"9","Pmvk"
5.30846310703763e-24,1.04478400121914,0.639,0.26,9.83817467627284e-20,"9","Fam126b"
5.53022989509953e-24,3.35657445592047,0.281,0.039,1.0249175064588e-19,"9","Npnt"
5.92114511490623e-24,1.07733668781033,0.618,0.202,1.09736582414557e-19,"9","Nsd2"
6.00841025337896e-24,0.967644519792158,0.713,0.361,1.11353867225872e-19,"9","Tceal3"
6.14584610021829e-24,1.84559039254875,0.401,0.076,1.13900965775346e-19,"9","Wasf1"
6.473101152512e-24,1.22482507971487,0.404,0.11,1.19965983659505e-19,"9","Adar"
7.2419408637961e-24,3.1778258575826,0.272,0.042,1.34214890028733e-19,"9","Snca"
7.47862596381557e-24,0.781182411751916,0.804,0.465,1.38601374987394e-19,"9","Stub1"
7.81877608953727e-24,1.50822266129391,0.554,0.17,1.44905377267394e-19,"9","Eef1e1"
8.15437659920257e-24,2.87841207983728,0.245,0.017,1.51125061513021e-19,"9","Cacng5"
8.32134999496827e-24,1.05891918827898,0.523,0.192,1.54219579456747e-19,"9","Tspyl1"
8.54448772606966e-24,0.763463154048994,0.697,0.295,1.58354991027249e-19,"9","Gcc2"
8.6290560515961e-24,3.325992189082,0.22,0.007,1.5992229580423e-19,"9","Kcnk9"
8.92113081223727e-24,0.747298794785873,0.596,0.191,1.65335317343193e-19,"9","Fstl5"
9.85721733580069e-24,1.01555815475496,0.428,0.103,1.82683808884394e-19,"9","Fbll1"
9.95047859370257e-24,1.05261366116306,0.554,0.194,1.8441221977709e-19,"9","Syngr1"
1.0562302470115e-23,1.57890728638391,0.318,0.071,1.95751151678642e-19,"9","Ogfod1"
1.1468607022066e-23,1.92654993131877,0.321,0.052,2.12547693939949e-19,"9","Ache"
1.17859316525461e-23,1.34600470183035,0.367,0.077,2.18428671316636e-19,"9","Tmem35a"
1.24680346311992e-23,1.79479855982152,0.407,0.083,2.31070085820015e-19,"9","Prkar2b"
1.31136430172683e-23,0.862553691122746,0.691,0.273,2.43035146039033e-19,"9","Lin7a"
1.38477050500587e-23,1.11140666356966,0.456,0.147,2.56639517692738e-19,"9","Chchd6"
1.50930562860504e-23,1.38039929922618,0.474,0.138,2.79719612149371e-19,"9","Ppp1r9b"
1.55233015480495e-23,2.66491654538401,0.315,0.038,2.87693347590002e-19,"9","Pcdh19"
1.56476758451416e-23,1.03210152607497,0.572,0.175,2.89998376438009e-19,"9","Peg13"
1.6102092612286e-23,1.11819733880378,0.639,0.232,2.98420082383497e-19,"9","Nat14"
1.61410718163258e-23,1.29468080618755,0.581,0.201,2.99142483971966e-19,"9","Prkaca"
1.62154630151747e-23,1.85218183105851,0.333,0.049,3.00521176060232e-19,"9","Cap2"
1.63146038228638e-23,1.4107943036296,0.416,0.115,3.02358552649135e-19,"9","Coro1c"
1.89412256990049e-23,0.790290480486083,0.685,0.314,3.51037735879658e-19,"9","Klhdc2"
1.90315056612103e-23,1.01337969261442,0.719,0.311,3.5271089441921e-19,"9","Gucy1b1"
1.94839686237933e-23,1.37854601880984,0.706,0.292,3.61096390504761e-19,"9","Ttc28"
2.07799363705858e-23,1.60558207853932,0.498,0.166,3.85114560756067e-19,"9","Fgf13"
2.17573626342376e-23,1.64106155217898,0.361,0.075,4.03229201700326e-19,"9","Atl1"
2.25189917073533e-23,1.4308898533211,0.502,0.154,4.1734447331238e-19,"9","Cdkn2d"
2.26137366408852e-23,1.31423472741264,0.33,0.08,4.19100381165525e-19,"9","Tenm2"
2.26469585831104e-23,0.83855792966086,0.829,0.449,4.19716083420784e-19,"9","Map2"
2.3223750930718e-23,2.0694306469992,0.239,0.029,4.30405775998996e-19,"9","Chrnb2"
2.38721503348788e-23,4.17623066186103,0.229,0.01,4.42422562156308e-19,"9","1700001O22Rik"
2.41722307332506e-23,3.60292639328183,0.382,0.13,4.47983952179333e-19,"9","Cxcl14"
2.44521097458436e-23,0.936268790255849,0.81,0.437,4.53170949919719e-19,"9","Atp2a2"
2.54305208425918e-23,0.687479174578157,0.801,0.435,4.71303842775754e-19,"9","Mphosph8"
2.65046931073502e-23,1.47214327521423,0.324,0.055,4.91211477358522e-19,"9","Ndst3"
2.78555394435942e-23,0.780013304441856,0.927,0.485,5.16246712508132e-19,"9","Gpm6a"
3.14361816265367e-23,1.75827081642304,0.294,0.057,5.82606754084604e-19,"9","B3galnt1"
3.2055761912771e-23,0.88833357580795,0.771,0.386,5.94089435529386e-19,"9","Nptn"
3.32200632448544e-23,1.67900557971406,0.391,0.093,6.15667432116887e-19,"9","Astn1"
3.3376812470331e-23,0.863487781658773,0.474,0.19,6.18572465512644e-19,"9","Fscn1"
3.34530984382619e-23,0.916114507837555,0.633,0.259,6.19986273356307e-19,"9","Scamp1"
3.4019238537843e-23,5.3507874990586,0.19,0.003,6.30478547821845e-19,"9","Cpne4"
3.66231727927453e-23,0.946954696902953,0.801,0.481,6.78737261367948e-19,"9","Rrp1"
3.930253055292e-23,1.02780045954332,0.829,0.453,7.28393798737267e-19,"9","Bzw1"
3.96895286138425e-23,1.00047272511738,0.657,0.28,7.35566033800343e-19,"9","Efr3a"
4.04197910148643e-23,1.72038007686447,0.346,0.052,7.4909998687848e-19,"9","Syngr3"
4.05592789687965e-23,1.19977948793844,0.434,0.104,7.51685117128706e-19,"9","Cd200"
