"logFC","logCPM","F","PValue","FDR","gene","lfc","padj","significant"
0.249528528026993,5.09820549974673,31.2878896249857,6.77405389895451e-05,0.000224010219986049,"Zc3h12c",0.249528528026993,0.000224010219986049,FALSE
-0.282592612033917,5.96793107428032,31.279731337607,6.78278671334467e-05,0.000224259811619619,"Sart3",-0.282592612033917,0.000224259811619619,FALSE
0.864863700121181,6.78080135097785,31.2737624133076,6.78918773327302e-05,0.000224432233209281,"Car14",0.864863700121181,0.000224432233209281,FALSE
0.349227086603333,5.12044814965643,31.2552865799877,6.80905934068703e-05,0.000225049818068961,"Rest",0.349227086603333,0.000225049818068961,FALSE
0.379445233974152,5.00778293516904,31.2308397133829,6.83544542190856e-05,0.000225882462929364,"Tmem151a",0.379445233974152,0.000225882462929364,FALSE
0.441834997718109,4.58311655687774,31.2295305963857,6.83687179572604e-05,0.000225890148627079,"Maml3",0.441834997718109,0.000225890148627079,FALSE
2.99031354284863,-1.14527904061807,29.2159831280068,6.85051007865028e-05,0.000226248408948,"Csn3",2.99031354284863,0.000226248408948,TRUE
0.876730735049522,0.050877463401141,31.2397819996909,6.85126110013851e-05,0.000226248408948,"Slco4c1",0.876730735049522,0.000226248408948,FALSE
0.358131093820166,4.11267161888086,31.2162268165233,6.85130209952458e-05,0.000226248408948,"Mob3a",0.358131093820166,0.000226248408948,FALSE
-1.49895930209089,-0.71628400123106,31.3380253004088,6.85674637558187e-05,0.000226388684206526,"Gm44280",-1.49895930209089,0.000226388684206526,TRUE
1.00226729422017,2.80598407944042,31.1843935301294,6.88697201613883e-05,0.000227346972242461,"Pim1",1.00226729422017,0.000227346972242461,TRUE
-1.40288512663712,-0.0699071819659156,31.2140180935979,6.8886368787262e-05,0.000227362265862999,"Gnrh1",-1.40288512663712,0.000227362265862999,TRUE
-0.303410966455512,4.93305117525419,31.1798439712966,6.89086089712937e-05,0.000227396006096062,"Usp53",-0.303410966455512,0.000227396006096062,FALSE
1.23376583525095,2.39609659162552,31.1645591023435,6.90928562029195e-05,0.000227964258948848,"Gask1a",1.23376583525095,0.000227964258948848,TRUE
0.384548865804883,3.92441548526838,31.1550625373438,6.91801784403438e-05,0.000228212576089293,"Ngef",0.384548865804883,0.000228212576089293,FALSE
-0.473731146719079,4.55733549601225,31.1535109506136,6.9196867550697e-05,0.00022822784169327,"B230354K17Rik",-0.473731146719079,0.00022822784169327,FALSE
0.832913426135347,2.30607472831221,31.1460704645534,6.9294468117614e-05,0.000228509920829817,"Fbxo16",0.832913426135347,0.000228509920829817,FALSE
-1.41703612601276,-0.881182537792292,31.3029860929086,6.93665310521586e-05,0.000228707701789327,"Gm50221",-1.41703612601276,0.000228707701789327,TRUE
-0.986856538039476,3.00512577256447,31.1319701202869,6.94409707310392e-05,0.000228913248810579,"1110018N20Rik",-0.986856538039476,0.000228913248810579,FALSE
0.686316403693768,2.38743764753182,31.1279599995081,6.94913166220804e-05,0.000229039312510539,"Sidt1",0.686316403693768,0.000229039312510539,FALSE
0.423126135406437,5.5483698139268,31.1219036751919,6.95444012222714e-05,0.000229174357354201,"Prkar2b",0.423126135406437,0.000229174357354201,FALSE
0.816452914607769,6.77864533914983,31.1091782399847,6.96849080058746e-05,0.000229597393224301,"Enpp2",0.816452914607769,0.000229597393224301,FALSE
-0.488770100994234,2.88430687824636,31.1051463892142,6.97385446302692e-05,0.000229734112377081,"Mtbp",-0.488770100994234,0.000229734112377081,FALSE
0.80098375992265,5.13301926925721,31.0928076256708,6.98663126908353e-05,0.000230114946690337,"Rnd3",0.80098375992265,0.000230114946690337,FALSE
-0.306820331542778,6.41656022792536,31.0883301664692,6.9915883277275e-05,0.000230238138421963,"Ralgps2",-0.306820331542778,0.000230238138421963,FALSE
-1.26608870032388,1.27032944313762,31.0873080696578,6.99816192580265e-05,0.000230414511849726,"Gm47690",-1.26608870032388,0.000230414511849726,TRUE
0.713810057581717,1.66778143427316,31.0837411404675,6.99965150585576e-05,0.000230423461715036,"Sh2b2",0.713810057581717,0.000230423461715036,FALSE
0.451156834945371,8.6832565913213,31.0565337146185,7.02698234959036e-05,0.000231282936195771,"Atp1a1",0.451156834945371,0.000231282936195771,FALSE
-0.24248201105902,6.52086859426744,31.0500971239296,7.03417383491395e-05,0.000231479369224768,"Cope",-0.24248201105902,0.000231479369224768,FALSE
-0.389595033923547,4.21662751852625,31.0423668144127,7.04285504219226e-05,0.000231724748927773,"Eri1",-0.389595033923547,0.000231724748927773,FALSE
0.583099981958086,5.36527997867149,31.040159904228,7.04529766857278e-05,0.000231764816558995,"Rtl5",0.583099981958086,0.000231764816558995,FALSE
0.724272790172111,5.9691342221478,31.0324702055395,7.05390983227438e-05,0.000232007790450714,"Grn",0.724272790172111,0.000232007790450714,FALSE
-0.867410093636217,2.255612473813,31.0250193658259,7.06389377490365e-05,0.000232267335927198,"1700096K18Rik",-0.867410093636217,0.000232267335927198,FALSE
0.341644340438201,5.5938421487574,31.0232526482578,7.06425598911862e-05,0.000232267335927198,"Gstm5",0.341644340438201,0.000232267335927198,FALSE
-0.371068470323205,6.29565922638092,31.0130802493642,7.07568874964929e-05,0.000232602818834023,"Hnrnpab",-0.371068470323205,0.000232602818834023,FALSE
-0.228460693613915,6.18577557098827,31.0057985725584,7.08388840138936e-05,0.000232831919977574,"Slc35e1",-0.228460693613915,0.000232831919977574,FALSE
0.742718563995055,1.6185493366374,31.0067227850057,7.08603366978445e-05,0.000232835666095558,"Irak4",0.742718563995055,0.000232835666095558,FALSE
-0.249542132648384,6.86453048696712,31.0035125356751,7.08646338148356e-05,0.000232835666095558,"Dcaf11",-0.249542132648384,0.000232835666095558,FALSE
0.549273307506408,2.86243677834209,30.9849040701051,7.10845155237909e-05,0.000233517569920342,"Plppr1",0.549273307506408,0.000233517569920342,FALSE
-1.1726487770391,8.55024867030015,30.9755633734596,7.11804845926188e-05,0.000233792246044356,"Pcare",-1.1726487770391,0.000233792246044356,TRUE
-0.231953456154769,5.21876941844683,30.9642493399622,7.13088921672116e-05,0.000234173352583821,"Aptx",-0.231953456154769,0.000234173352583821,FALSE
-0.356163579954072,4.38089454625381,30.9445452026887,7.15332042844934e-05,0.000234869215941555,"Ndc1",-0.356163579954072,0.000234869215941555,FALSE
-0.312031190898142,5.71671947867431,30.9407431379455,7.15762960223431e-05,0.000234969929447393,"Kctd15",-0.312031190898142,0.000234969929447393,FALSE
0.221179482515515,7.32773770345072,30.9354828470553,7.16362632260591e-05,0.000235110964226107,"Ppme1",0.221179482515515,0.000235110964226107,FALSE
0.253457875340116,10.0165155650573,30.9347950889473,7.16441084308071e-05,0.000235110964226107,"Nedd4",0.253457875340116,0.000235110964226107,FALSE
-0.432785254871371,3.00921783616227,30.9335156666639,7.16675537271865e-05,0.000235147121835586,"Ndufaf8",-0.432785254871371,0.000235147121835586,FALSE
-0.322611726067721,5.9879409181772,30.9271740181748,7.17311907618771e-05,0.000235315116434854,"Rbm8a",-0.322611726067721,0.000235315116434854,FALSE
-0.257305871797036,6.39818351413966,30.9203444353958,7.18092907420867e-05,0.000235530490452724,"Pgrmc2",-0.257305871797036,0.000235530490452724,FALSE
0.615954237410587,2.45900939828426,30.9175842884734,7.18538596606879e-05,0.000235635828856072,"Zfp995",0.615954237410587,0.000235635828856072,FALSE
0.32653350730679,8.13161420249945,30.8989876089294,7.20541736992738e-05,0.000236251789072545,"Cfl1",0.32653350730679,0.000236251789072545,FALSE
0.356785482643779,7.19469852737676,30.8974329818518,7.20720423352692e-05,0.000236269436082461,"Edil3",0.356785482643779,0.000236269436082461,FALSE
0.356306458885887,5.73741960500595,30.87836660121,7.22915869232933e-05,0.000236914827481797,"Sorbs1",0.356306458885887,0.000236914827481797,FALSE
0.333128269775008,5.58074219149903,30.8781622165918,7.22939548610029e-05,0.000236914827481797,"Vps13a",0.333128269775008,0.000236914827481797,FALSE
1.45533695810441,1.64956948476554,30.8730971559595,7.24001656362953e-05,0.00023722180678268,"C330024D21Rik",1.45533695810441,0.00023722180678268,TRUE
0.206970019062248,6.17517147343168,30.8589216338058,7.25162174532266e-05,0.000237560918741335,"Scmh1",0.206970019062248,0.000237560918741335,FALSE
0.359134235138246,5.76415682610354,30.8560333032466,7.25496752838333e-05,0.000237627769601874,"Lmo4",0.359134235138246,0.000237627769601874,FALSE
1.48669286707225,-0.475758686290818,30.9822155511003,7.25617404481359e-05,0.000237627769601874,"Gm48140",1.48669286707225,0.000237627769601874,TRUE
0.265474953218752,7.40450317202909,30.8488677587989,7.26326659038622e-05,0.000237818879431196,"Cry2",0.265474953218752,0.000237818879431196,FALSE
-0.344706668118985,4.59411323699358,30.8432054453947,7.26985683222081e-05,0.00023799347920291,"Magoh",-0.344706668118985,0.00023799347920291,FALSE
0.610801448654591,4.7755048890893,30.8414470623464,7.27189555537416e-05,0.000238019041167255,"Zhx2",0.610801448654591,0.000238019041167255,FALSE
-1.43047470377138,-0.421913304835805,30.8968577676594,7.2799633807557e-05,0.000238241900883188,"E130018N17Rik",-1.43047470377138,0.000238241900883188,TRUE
-1.45891499952715,-1.10468302340278,31.0895023732704,7.28635586900329e-05,0.000238409866424486,"1700018A14Rik",-1.45891499952715,0.000238409866424486,TRUE
-1.06928183620935,1.11382091501591,30.8167567369159,7.3068745910027e-05,0.000239039904929034,"Gm15601",-1.06928183620935,0.000239039904929034,TRUE
1.32185002701432,0.0590422034170546,30.8391239274411,7.31687224290836e-05,0.000239325594780142,"Gm37795",1.32185002701432,0.000239325594780142,TRUE
-0.295790932188638,5.86580128684233,30.7973921777783,7.3232379029055e-05,0.000239492408570304,"Kdsr",-0.295790932188638,0.000239492408570304,FALSE
-0.291471416358875,4.78716344849504,30.7879113181392,7.33435757066496e-05,0.000239814608522762,"Wdr70",-0.291471416358875,0.000239814608522762,FALSE
0.65683402511444,2.31949039433413,30.7879883443221,7.3357803649216e-05,0.00023981968912413,"Npas2",0.65683402511444,0.00023981968912413,FALSE
-0.520472283539757,5.74539365999208,30.7814167354934,7.34196501815743e-05,0.000239980414706469,"Hltf",-0.520472283539757,0.000239980414706469,FALSE
-0.304145597024911,5.33865670885953,30.7772054200548,7.34691373937995e-05,0.00024010069391459,"Abtb1",-0.304145597024911,0.00024010069391459,FALSE
-0.57831570417375,3.4368372614254,30.7756941619087,7.3489820462794e-05,0.000240126814504747,"Pcdhgb1",-0.57831570417375,0.000240126814504747,FALSE
-0.567714245622747,2.33552496652061,30.7737085136066,7.35248491676223e-05,0.000240199792118396,"Cfap46",-0.567714245622747,0.000240199792118396,FALSE
-1.67864240330515,-1.33472413127836,31.152964337771,7.38054413409976e-05,0.000241074842232756,"Gm37484",-1.67864240330515,0.000241074842232756,TRUE
-1.40012664678509,-0.270813454699384,30.7878966045368,7.38729526098436e-05,0.000241253712337497,"Gm4189",-1.40012664678509,0.000241253712337497,TRUE
1.11703084055959,0.489999921304565,30.7425167324008,7.40438713443093e-05,0.000241770169728563,"Gm44645",1.11703084055959,0.000241770169728563,TRUE
0.748035642657961,2.4729669956619,30.6992834035267,7.44051198522915e-05,0.000242907811912536,"Mical1",0.748035642657961,0.000242907811912536,FALSE
-0.755772844717737,1.27354897421815,30.6968952293193,7.44654974797429e-05,0.000243029442180641,"Gm8234",-0.755772844717737,0.000243029442180641,FALSE
0.849211820305312,9.11739684056754,30.6928255727473,7.44680639342223e-05,0.000243029442180641,"Trpm1",0.849211820305312,0.000243029442180641,FALSE
0.608967840825415,5.1393901040779,30.6739661233231,7.46935871052542e-05,0.00024372341010616,"Sri",0.608967840825415,0.00024372341010616,FALSE
1.95416444941154,-1.65475185066708,29.7277601654823,7.47325636893839e-05,0.000243808546574228,"Gm17080",1.95416444941154,0.000243808546574228,TRUE
0.78076399387194,6.62054038935867,30.6677277016067,7.47682177871611e-05,0.000243882816233177,"Ltbp3",0.78076399387194,0.000243882816233177,FALSE
-1.34626464282388,-0.11457605921457,30.6879395986027,7.49117031380768e-05,0.000244308729193156,"A930038B10Rik",-1.34626464282388,0.000244308729193156,TRUE
0.770785326036664,5.33152925250342,30.6487925171272,7.49956569612424e-05,0.000244540379290131,"Itga3",0.770785326036664,0.000244540379290131,FALSE
-0.590355518956643,2.35845911344897,30.6331665576839,7.51978317895034e-05,0.000245157369593553,"Ccdc17",-0.590355518956643,0.000245157369593553,FALSE
0.540693934550734,6.42877280311683,30.6239324991208,7.5295277938342e-05,0.000245432773324601,"Sdcbp",0.540693934550734,0.000245432773324601,FALSE
0.819562828149079,1.77328254567345,30.6223843935773,7.53433376051065e-05,0.000245547129549402,"Gm20712",0.819562828149079,0.000245547129549402,FALSE
-0.436613208093716,3.26289930614772,30.6005780761536,7.55844397853876e-05,0.000246290471778733,"Ppwd1",-0.436613208093716,0.000246290471778733,FALSE
-0.274688428905706,4.79619724031669,30.5954153814202,7.56409056559145e-05,0.000246432027689603,"Psmd9",-0.274688428905706,0.000246432027689603,FALSE
-0.259194479931122,5.96611783273531,30.5887542970955,7.57217294742267e-05,0.000246652877450735,"Bcas2",-0.259194479931122,0.000246652877450735,FALSE
0.615224965580319,1.48391034944728,30.5882348324862,7.57654724206245e-05,0.000246752886255259,"Fam221b",0.615224965580319,0.000246752886255259,FALSE
6.62789175698142,-1.54662809903392,37.8067074281367,7.60553682120096e-05,0.000247620810052925,"5330416C01Rik",6.62789175698142,0.000247620810052925,TRUE
0.893397409247743,0.577716802314983,30.5717537649346,7.6058141212747e-05,0.000247620810052925,"Gm9936",0.893397409247743,0.000247620810052925,FALSE
0.465144395451336,4.69080365820414,30.5562533616786,7.61183509281427e-05,0.000247774202006247,"Atic",0.465144395451336,0.000247774202006247,FALSE
-0.351782691263206,4.71317547453035,30.5549761311976,7.61339592676539e-05,0.000247782383430091,"Zfp61",-0.351782691263206,0.000247782383430091,FALSE
1.09468459956396,1.98723074423989,30.5475349276143,7.62509757393052e-05,0.000248120543927624,"Map3k21",1.09468459956396,0.000248120543927624,TRUE
-0.347830868024033,5.25631416191202,30.5411869697831,7.63028137181752e-05,0.00024824653390222,"Heatr6",-0.347830868024033,0.00024824653390222,FALSE
0.383852013125853,6.5470333192446,30.5399159703671,7.63183338850863e-05,0.000248254343093279,"Ugcg",0.383852013125853,0.000248254343093279,FALSE
0.928509972156852,1.17974679291643,30.542689757633,7.63474108054877e-05,0.000248306240505575,"2210408F21Rik",0.928509972156852,0.000248306240505575,FALSE
-0.312036429153293,5.02781723528842,30.5295286442142,7.64460292845642e-05,0.000248584252641781,"2610301B20Rik",-0.312036429153293,0.000248584252641781,FALSE
1.20507830986299,-0.469961793930805,30.6124823654714,7.65053725099946e-05,0.000248734477428543,"1700003F12Rik",1.20507830986299,0.000248734477428543,TRUE
-0.843321984588144,3.57243555875864,30.4951428846979,7.68730262614446e-05,0.000249886858429661,"Gm49937",-0.843321984588144,0.000249886858429661,FALSE
-0.229736149326629,7.44916663387597,30.4922069995758,7.69063510430114e-05,0.000249952245694926,"Bcl2l2",-0.229736149326629,0.000249952245694926,FALSE
3.04573471634773,-1.71394645439957,26.2059068167606,7.69204290281938e-05,0.00024995506750326,"Gm9075",3.04573471634773,0.00024995506750326,TRUE
