Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
Ac002470.1,54,20,17,27,25,23,21
Ac002470.2,5,0,1,1,1,1,0
Ac002472.1,1,0,2,3,2,0,1
Ac002472.2,0,0,0,0,0,0,0
Ac002472.3,1,2,3,0,2,1,1
Ac002472.4,0,0,0,0,0,0,0
Ac002480.1,3,1,0,9,3,2,3
Ac002480.2,1,1,0,2,0,1,1
Ac002486.1,0,0,0,0,0,0,0
Ac002486.2,0,0,0,0,0,0,0
Ac002487.1,0,0,0,0,0,0,0
Ac002504.1,0,0,0,0,0,0,0
Ac002511.1,1,0,2,1,2,1,0
Ac002511.2,0,1,0,1,4,0,0
Ac002511.3,0,0,0,0,0,0,0
Ac002519.1,0,2,3,4,1,3,0
Ac002519.2,0,1,2,2,0,1,0
Ac002524.1,9,3,1,0,2,2,2
Ac002525.1,4,3,1,8,8,2,2
Ac002540.1,11,11,2,9,7,7,5
Ac002542.1,0,0,1,0,0,1,0
Ac002543.1,1,0,0,1,3,0,0
Ac002545.1,0,0,0,0,2,1,0
Ac002546.1,0,2,2,3,0,5,5
Ac002550.1,0,0,0,0,0,0,0
Ac002550.2,16,18,29,19,19,22,9
Ac002551.1,2,0,0,0,1,1,0
Ac002553.1,76,66,129,67,61,54,67
Ac002553.2,59,48,64,52,56,170,53
Ac002558.1,8,4,9,8,1,9,2
Ac002558.2,0,3,4,0,1,6,0
Ac002558.3,3,3,6,11,1,6,1
Ac002563.1,2,1,2,3,3,7,4
Ac002984.1,29,21,8,7,5,10,11
Ac002985.1,0,0,0,0,0,0,0
Ac002996.1,0,0,0,0,0,0,0
Ac003001.1,1,0,0,1,3,2,0
Ac003001.2,0,0,0,1,1,0,0
Ac003002.1,0,0,0,0,0,0,0
Ac003002.2,7,7,10,13,19,11,7
Ac003002.3,3,14,18,4,9,11,12
Ac003005.1,0,0,0,0,0,0,0
Ac003005.2,7,3,3,4,0,0,2
Ac003006.1,0,0,0,0,0,0,0
Ac003009.1,0,0,0,0,0,0,0
Ac003035.1,232,91,69,44,54,42,60
Ac003035.2,5,2,6,5,2,0,2
Ac003043.1,0,1,0,0,0,1,0
Ac003043.2,6,13,9,10,7,6,5
Ac003045.1,0,0,0,0,0,0,0
Ac003070.1,1,0,1,2,2,1,2
Ac003070.2,0,0,0,0,0,0,0
Ac003070.7,0,0,0,0,0,0,0
Ac003071.1,0,0,0,0,0,0,0
Ac003071.2,0,0,0,0,0,0,0
Ac003072.1,316,84,79,178,109,70,127
Ac003080.1,0,0,0,0,0,1,0
Ac003084.1,0,0,2,0,2,2,0
Ac003087.1,0,0,1,0,0,0,0
Ac003092.1,0,0,0,0,0,0,0
Ac003092.2,2,0,1,0,0,0,2
Ac003098.1,0,0,0,0,0,0,0
Ac003101.1,0,0,0,0,0,0,0
Ac003101.2,0,0,0,0,0,1,0
Ac003101.3,0,0,0,0,0,0,0
Ac003102.1,545,303,315,394,497,345,402
Ac003659.1,0,0,0,0,0,0,0
Ac003666.1,0,1,0,0,0,0,1
Ac003669.1,0,0,0,1,0,1,0
Ac003681.1,149,273,316,201,212,496,264
Ac003682.1,0,2,10,1,0,3,5
Ac003684.1,0,0,0,0,0,0,0
Ac003685.1,0,0,0,0,0,0,0
Ac003685.2,0,0,0,0,0,0,0
Ac003686.1,0,0,0,0,0,0,0
Ac003687.1,1,0,1,0,0,0,0
Ac003688.1,0,0,0,0,0,0,0
Ac003688.2,0,0,0,0,0,0,0
Ac003950.1,0,0,0,0,1,0,0
Ac003956.1,9,18,28,14,27,22,18
Ac003957.1,3,2,0,1,1,0,0
Ac003958.1,0,0,0,0,0,0,0
